date,/m/07zln7n,nasdaq:air,isPartial
2021-05-16,14,3,False
2021-05-23,12,1,False
2021-05-30,14,2,False
2021-06-06,13,1,False
2021-06-13,14,2,False
2021-06-20,15,1,False
2021-06-27,17,1,False
2021-07-04,13,1,False
2021-07-11,13,0,False
2021-07-18,17,1,False
2021-07-25,40,1,False
2021-08-01,19,2,False
2021-08-08,19,2,False
2021-08-15,16,1,False
2021-08-22,17,1,False
2021-08-29,24,1,False
2021-09-05,13,1,False
2021-09-12,12,1,False
2021-09-19,16,1,False
2021-09-26,20,1,False
2021-10-03,24,1,False
2021-10-10,15,1,False
2021-10-17,23,1,False
2021-10-24,39,2,False
2021-10-31,24,0,False
2021-11-07,16,2,False
2021-11-14,16,1,False
2021-11-21,18,0,False
2021-11-28,18,0,False
2021-12-05,16,1,False
2021-12-12,16,1,False
2021-12-19,16,1,False
2021-12-26,14,1,False
2022-01-02,27,2,False
2022-01-09,20,1,False
2022-01-16,16,1,False
2022-01-23,25,3,False
2022-01-30,100,1,False
2022-02-06,56,2,False
2022-02-13,34,0,False
2022-02-20,36,2,False
2022-02-27,37,0,False
2022-03-06,38,3,False
2022-03-13,39,2,False
2022-03-20,38,1,False
2022-03-27,30,1,False
2022-04-03,40,1,False
2022-04-10,41,3,False
2022-04-17,52,1,False
2022-04-24,89,1,False
2022-05-01,47,2,False
2022-05-08,46,3,True
